Quy,Q1,Q2,Q3,Q4,Tang_truong
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"3,153,910,222,805","6,647,595,173,044","10,234,198,462,956","12,922,235,486,919",
2. Điều chỉnh cho các khoản,,,,,
- Khấu hao TSCĐ và BĐSĐT,"61,385,028,806","122,770,057,612","184,155,086,419","245,540,115,225",
- Các khoản dự phòng,"3,789,250,096","280,267,951","2,314,943,534","33,465,629,186",
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","-1,281,139,009","4,866,759,074","-712,772,790","-1,658,368,628",
"- Lãi, lỗ từ hoạt động đầu tư","-250,400,369,913","-525,955,313,779","-815,457,259,480","-1,106,041,407,749",
- Chi phí lãi vay,"12,905,990,201","40,978,245,235","65,352,812,340","88,799,090,663",
- Các khoản điều chỉnh khác,,,"-70,907,305,930","-70,747,452,470",
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"3,494,031,135,649","7,387,528,998,931","11,239,739,791,190","14,351,819,307,323",
"- Tăng, giảm các khoản phải thu","-41,714,113,141","-953,999,415,856","-713,771,776,412","-516,850,818,361",
"- Tăng, giảm hàng tồn kho","-1,637,223,057,031","-2,118,007,720,615","-1,756,285,785,404","-2,260,680,842,222",
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","730,238,705,657","1,113,886,610,788","1,350,656,652,232","1,484,048,321,527",
"- Tăng, giảm chi phí trả trước","-147,546,962,653","-57,798,875,892","-17,617,461,523","115,756,136",
"- Tăng, giảm chứng khoán kinh doanh",,,,,
- Tiền lãi vay đã trả,"-15,796,286,643","-24,285,955,325","-59,897,652,503","-98,339,684,932",
- Thuế thu nhập doanh nghiệp đã nộp,"-549,149,282,272","-562,112,069,104","-913,503,477,506","-2,356,597,912,369",
- Tiền thu khác từ hoạt động kinh doanh,,,,,
- Tiền chi khác cho hoạt động kinh doanh,"-644,131,581,434","-719,135,831,215","-1,007,807,852,695","-1,171,540,563,209",
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1,188,708,558,132","4,066,075,741,712","8,121,512,437,379","9,431,973,563,893",
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","-174,468,716,999","-416,143,710,138","-1,054,290,424,481","-1,531,025,359,270",
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","30,432,767,605","61,680,824,583","99,313,856,827","133,904,995,529",
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-2,029,848,548,257","-2,454,389,091,598","-2,243,510,219,492","-3,514,465,835,454",
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","150,000,000","150,000,000","150,000,000","150,000,000",
5.Tiền chi đầu tư góp vốn vào đơn vị khác,,"-4,321,875,000","-4,321,875,000","-23,227,732,575",
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,"1,336,500,000","1,336,500,000","1,336,500,000",
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","145,015,833,823","294,449,790,182","611,170,417,870","1,000,079,344,561",
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-2,028,718,663,828","-2,517,237,561,971","-2,590,151,744,276","-3,933,248,087,209",
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,"39,200,670,000","39,200,670,000","39,200,670,000",
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","60,119,994,553",,,,
3.Tiền thu từ đi vay,"39,200,670,000","3,620,860,928,054","5,952,676,955,769","9,596,960,360,003",
4.Tiền chi trả nợ gốc vay,"2,709,758,030,232","-1,466,429,278,307","-4,245,728,658,539","-7,551,460,199,195",
5.Tiền chi trả nợ gốc thuê tài chính,"-784,318,154,711",,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","-2,089,695,872,250","-4,388,627,335,500","-7,523,560,503,000","-7,523,560,503,000",
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-64,935,332,176","-1,991,403,358,450","-5,573,819,878,467","-5,257,397,637,789",
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),"-904,945,437,872","-442,565,178,709","-42,459,185,364","241,327,838,895",
Tiền và tương đương tiền đầu kỳ,"2,111,242,815,581","2,111,242,815,581","2,111,242,815,581","2,111,242,815,581",
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,"-193,229,374","-266,957,202","-4,585,694,481","-2,270,210,170",
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),"1,197,956,795,582","1,663,036,014,269","2,051,857,098,275","2,348,551,874,348",
